Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.020     0.005     0.000     0.016     1337  *Module#const_get
  0.01      0.005     0.005     0.000     0.000     1473   BinData::AcceptedParametersPlugin::AcceptedParameters#default
  0.01      0.389     0.005     0.000     0.384     1088   BinData::DSLMixin::DSLParser#append_field
  0.01      0.004     0.004     0.000     0.000     1366   String#tr
  0.01      0.004     0.004     0.000     0.000     1469   String#to_s
  0.01      0.007     0.004     0.000     0.002     2079   Hash#include?
  0.01      0.023     0.004     0.000     0.018     1123   Gem::Requirement#hash
  0.01      0.004     0.004     0.000     0.000     1053   Array#join
  0.01      0.013     0.004     0.000     0.009     1299   BinData::SanitizedParameters#ensure_no_nil_values
  0.01      0.008     0.004     0.000     0.004      494   Array#collect
  0.01      0.004     0.004     0.000     0.000     1530   Gem::Version#hash
  0.01      0.014     0.004     0.000     0.010      120   Array#uniq
  0.01      0.008     0.004     0.000     0.004      551   BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.01      0.007     0.004     0.000     0.003      248   URI::Generic#to_s
  0.01      0.007     0.004     0.000     0.003      896   BinData::SanitizedParameters#needs_sanitizing?
  0.01      0.006     0.004     0.000     0.003     2309   Bundler::LazySpecification#satisfies?
  0.01      0.004     0.004     0.000     0.000     2902   Hash#has_key?
  0.01      0.035     0.004     0.000     0.032     1178   BinData::DSLMixin::DSLFieldValidator#fields
  0.01      0.005     0.004     0.000     0.001      356   Kernel#define_singleton_method
  0.01      0.029     0.004     0.000     0.025      293   BinData::DSLMixin::DSLParser#to_struct_params
  0.01      0.009     0.004     0.000     0.005      928   BinData::DSLMixin::DSLFieldValidator#name_is_reserved?
  0.01      0.031     0.004     0.000     0.028      798   Gem::Requirement#to_s
  0.01      0.108     0.004     0.000     0.104      928   BinData::DSLMixin::DSLFieldValidator#duplicate_name?
  0.01      0.025     0.003     0.000     0.022      798   Gem::Requirement#as_list
  0.01      0.016     0.003     0.000     0.013      231   Gem::Dependency#initialize
  0.01      0.003     0.003     0.000     0.000     1297   Kernel#class
  0.01      0.014     0.003     0.000     0.011      360   Gem::Requirement#initialize
  0.01      0.017     0.003     0.000     0.014      928   BinData::DSLMixin::DSLFieldValidator#malformed_name?
  0.01      0.005     0.003     0.000     0.002      606   Module#define_method
  0.01      0.007     0.003     0.000     0.004      368   <Class::Gem::Requirement>#parse
  0.01      0.005     0.003     0.000     0.002      342   BinData::Registry#name_with_endian
  0.00      0.009     0.003     0.000     0.006      238   BinData::DSLMixin::DSLParser#initialize
  0.00      0.144     0.003     0.000     0.141      222   <Class::Pio::OpenFlow::Action>#method_missing
  0.00      0.019     0.003     0.000     0.016     1088   BinData::DSLMixin::DSLFieldValidator#must_not_have_a_name_failed?
  0.00      0.020     0.003     0.000     0.017      265   BinData::Registry#register
  0.00      0.003     0.003     0.000     0.000      545   String#split
  0.00      0.003     0.003     0.000     0.000     2183   NilClass#nil?
  0.00      0.003     0.003     0.000     0.000      570   Array#concat
  0.00      0.017     0.003     0.000     0.014     1088   BinData::DSLMixin::DSLFieldValidator#must_have_a_name_failed?
  0.00     59.269     0.003     0.000    59.266        1   Kernel#load
  0.00      0.003     0.003     0.000     0.000     2874   Array#empty?
  0.00      0.003     0.003     0.000     0.000      497   Array#flatten
  0.00      0.003     0.003     0.000     0.000     1189   Array#shift
  0.00      0.003     0.003     0.000     0.000      786   Proc#yield
  0.00      0.005     0.003     0.000     0.002      928   BinData::DSLMixin::DSLFieldValidator#name_shadows_method?
  0.00      0.024     0.003     0.000     0.022      191   Bundler::LockfileParser#parse_spec
  0.00      0.003     0.003     0.000     0.000     1038   Module#method_defined?
  0.00      0.071     0.003     0.000     0.068      928   BinData::SanitizedFields#has_field_name?
  0.00      0.017     0.003     0.000     0.015      173   BinData::AcceptedParametersPlugin::AcceptedParameters#initialize
  0.00      0.003     0.003     0.000     0.000     2461   Hash#has_parameter?
  0.00      0.002     0.002     0.000     0.000     1184   BinData::SanitizedField#name
  0.00      0.002     0.002     0.000     0.000      840   Symbol#to_proc
  0.00      0.010     0.002     0.000     0.008       69   Array#reverse_each
  0.00      0.002     0.002     0.000     0.000      786   Array#initialize_copy
  0.00      0.002     0.002     0.000     0.000     1542   Kernel#block_given?
  0.00      0.006     0.002     0.000     0.004     1320   BasicObject#!=
  0.00      0.007     0.002     0.000     0.004      293   BinData::StructArgProcessor#sanitize_endian
  0.00      0.031     0.002     0.000     0.029      582  *Enumerable#find
  0.00      0.002     0.002     0.000     0.000      412   Hash#fetch
